"Epoch (UTC)","Ch 1.26250E7 Hz (W/m^2/Hz)"
2016-07-03T12:20:33.470Z,2.1702E-20
2016-07-03T12:21:16.307Z,1.6233E-20
2016-07-03T12:21:59.143Z,2.0834E-20
2016-07-03T12:22:41.984Z,1.9442E-20
2016-07-03T12:23:24.822Z,2.8449E-20
2016-07-03T12:24:07.670Z,1.6137E-20
2016-07-03T12:24:50.506Z,3.6806E-20
2016-07-03T12:25:33.345Z,2.4964E-20
2016-07-03T12:26:16.186Z,1.2377E-20
2016-07-03T12:26:59.027Z,1.0723E-20
2016-07-03T12:27:41.868Z,1.5100E-20
2016-07-03T12:28:24.708Z,1.8642E-20
2016-07-03T12:29:07.549Z,1.0814E-19
2016-07-03T12:29:50.389Z,3.6334E-20
2016-07-03T12:30:33.225Z,1.5135E-20
2016-07-03T12:31:16.066Z,2.8149E-20
2016-07-03T12:31:58.908Z,1.4642E-20
2016-07-03T12:32:41.743Z,3.2257E-20
2016-07-03T12:33:24.583Z,3.0896E-20
2016-07-03T12:34:07.424Z,1.2949E-20
2016-07-03T12:34:50.264Z,1.9748E-20
2016-07-03T12:35:33.109Z,2.2754E-20
2016-07-03T12:36:15.947Z,1.6238E-20
2016-07-03T12:36:58.786Z,4.7038E-20
2016-07-03T12:37:41.627Z,1.3313E-20
2016-07-03T12:38:24.467Z,2.5374E-20
2016-07-03T12:39:07.307Z,1.2752E-20
2016-07-03T12:39:50.143Z,4.1171E-20
2016-07-03T12:40:32.984Z,1.8866E-20
2016-07-03T12:41:15.826Z,1.7070E-20
2016-07-03T12:41:58.670Z,3.6286E-20
2016-07-03T12:42:41.510Z,3.3643E-20
2016-07-03T12:43:24.345Z,7.0420E-21
2016-07-03T12:44:07.182Z,4.1387E-20
2016-07-03T12:44:50.022Z,1.4393E-20
2016-07-03T12:45:32.865Z,1.6962E-20
2016-07-03T12:46:15.704Z,2.2372E-20
2016-07-03T12:46:58.540Z,1.8185E-20
2016-07-03T12:47:41.381Z,2.2937E-20
2016-07-03T12:48:24.217Z,3.6489E-20
2016-07-03T12:49:07.054Z,2.2685E-20
2016-07-03T12:49:49.893Z,1.9801E-20
2016-07-03T12:50:32.734Z,1.8207E-20
2016-07-03T12:51:15.576Z,1.8185E-20
2016-07-03T12:51:58.411Z,1.6085E-20
2016-07-03T12:52:41.260Z,2.7616E-20
2016-07-03T12:53:24.095Z,2.6096E-20
2016-07-03T12:54:06.932Z,2.4823E-20
2016-07-03T12:54:49.772Z,1.7691E-20
2016-07-03T12:55:32.615Z,2.5199E-20
2016-07-03T12:56:15.451Z,1.5482E-20
2016-07-03T12:56:58.290Z,3.8641E-20
2016-07-03T12:57:41.135Z,4.3127E-20
2016-07-03T12:58:23.972Z,2.7926E-20
2016-07-03T12:59:06.811Z,1.0266E-20
2016-07-03T12:59:49.658Z,8.3339E-21
2016-07-03T13:00:32.497Z,1.4673E-20
2016-07-03T13:01:15.338Z,1.8460E-20
2016-07-03T13:01:58.174Z,1.6052E-20
2016-07-03T13:02:41.013Z,1.6736E-20
2016-07-03T13:03:23.850Z,1.3669E-20
2016-07-03T13:04:06.691Z,2.3394E-20
2016-07-03T13:04:49.533Z,2.4744E-20
2016-07-03T13:05:32.372Z,2.5089E-20
2016-07-03T13:06:15.208Z,1.1070E-20
2016-07-03T13:06:58.049Z,1.7975E-20
2016-07-03T13:07:40.893Z,1.7344E-20
2016-07-03T13:08:23.734Z,1.9533E-20
2016-07-03T13:09:06.572Z,1.2091E-20
2016-07-03T13:09:49.411Z,4.2632E-20
2016-07-03T13:10:32.256Z,1.1423E-20
2016-07-03T13:11:15.095Z,1.4229E-20
2016-07-03T13:11:57.932Z,1.0445E-19
2016-07-03T13:12:40.783Z,2.4349E-20
2016-07-03T13:13:23.622Z,1.8881E-20
2016-07-03T13:14:06.463Z,7.7501E-21
2016-07-03T13:14:49.302Z,1.6195E-20
2016-07-03T13:15:32.138Z,1.0012E-20
2016-07-03T13:16:14.975Z,2.3197E-20
2016-07-03T13:16:57.816Z,9.0770E-21
2016-07-03T13:17:40.661Z,1.4528E-20
2016-07-03T13:18:23.502Z,2.3653E-20
2016-07-03T13:19:06.342Z,1.3559E-20
2016-07-03T13:19:49.177Z,2.2556E-20
2016-07-03T13:20:32.014Z,1.5966E-20
2016-07-03T13:21:14.859Z,1.2007E-20
2016-07-03T13:21:57.701Z,5.8661E-21
2016-07-03T13:22:40.536Z,2.0578E-20
2016-07-03T13:23:23.377Z,1.9134E-20
2016-07-03T13:24:06.222Z,2.7837E-20
2016-07-03T13:24:49.061Z,1.5624E-20
2016-07-03T13:25:31.902Z,2.0666E-20
2016-07-03T13:26:14.743Z,3.0200E-20
2016-07-03T13:26:57.583Z,2.4048E-20
2016-07-03T13:27:40.420Z,3.6157E-20
2016-07-03T13:28:23.263Z,1.4393E-20
2016-07-03T13:29:06.100Z,7.7287E-21
2016-07-03T13:29:48.941Z,1.9932E-20
2016-07-03T13:30:31.777Z,5.2928E-21
2016-07-03T13:31:14.618Z,2.1869E-20
2016-07-03T13:31:57.458Z,2.3351E-20
2016-07-03T13:32:40.299Z,2.0079E-20
2016-07-03T13:33:23.138Z,1.9186E-20
2016-07-03T13:34:05.975Z,1.9309E-20
2016-07-03T13:34:48.816Z,4.1151E-20
2016-07-03T13:35:31.661Z,1.1422E-20
2016-07-03T13:36:14.502Z,2.1249E-20
2016-07-03T13:36:57.342Z,1.3130E-20
2016-07-03T13:37:40.179Z,7.7840E-21
2016-07-03T13:38:23.014Z,1.8013E-20
2016-07-03T13:39:05.854Z,4.3545E-21
2016-07-03T13:39:48.697Z,2.2102E-20
2016-07-03T13:40:31.536Z,2.3849E-20
2016-07-03T13:41:14.377Z,1.8460E-20
2016-07-03T13:41:57.213Z,2.0229E-20
2016-07-03T13:42:40.052Z,1.6864E-20
2016-07-03T13:43:22.893Z,1.1691E-20
2016-07-03T13:44:05.734Z,1.1185E-20
2016-07-03T13:44:48.576Z,1.5212E-20
2016-07-03T13:45:31.415Z,1.4460E-20
2016-07-03T13:46:14.260Z,9.0125E-20
2016-07-03T13:46:57.095Z,2.4861E-20
2016-07-03T13:47:39.932Z,9.3661E-21
2016-07-03T13:48:22.772Z,1.6339E-20
2016-07-03T13:49:05.615Z,1.8776E-20
2016-07-03T13:49:48.451Z,1.6864E-20
2016-07-03T13:50:31.290Z,1.2120E-20
2016-07-03T13:51:14.131Z,4.0834E-20
2016-07-03T13:51:56.970Z,1.8566E-20
2016-07-03T13:52:39.807Z,1.7658E-20
2016-07-03T13:53:22.647Z,9.7925E-21
2016-07-03T13:54:05.484Z,3.1029E-20
2016-07-03T13:54:48.326Z,1.6339E-20
2016-07-03T13:55:31.174Z,1.9740E-20
2016-07-03T13:56:14.010Z,2.0542E-20
2016-07-03T13:56:56.847Z,7.0835E-20
2016-07-03T13:57:39.686Z,1.9604E-20
2016-07-03T13:58:22.522Z,2.9616E-20
2016-07-03T13:59:05.368Z,1.9424E-20
2016-07-03T13:59:48.204Z,6.1590E-21
2016-07-03T14:00:31.045Z,1.2674E-20
2016-07-03T14:01:13.888Z,2.7926E-20
2016-07-03T14:01:56.725Z,1.4393E-20
2016-07-03T14:02:39.566Z,6.7674E-21
2016-07-03T14:03:22.408Z,3.6657E-20
2016-07-03T14:04:05.243Z,3.0896E-20
2016-07-03T14:04:48.083Z,1.4190E-20
2016-07-03T14:05:30.927Z,1.4460E-20
2016-07-03T14:06:13.768Z,1.8881E-20
2016-07-03T14:06:56.609Z,2.1566E-20
2016-07-03T14:07:39.447Z,1.4393E-20
2016-07-03T14:08:22.286Z,1.4673E-20
2016-07-03T14:09:05.127Z,1.4992E-20
2016-07-03T14:09:47.963Z,1.7776E-20
2016-07-03T14:10:30.802Z,2.4048E-20
