"Epoch (UTC)","Ch 1.26250E7 Hz (W/m^2/Hz)"
2016-07-03T13:00:32.497Z,1.4673E-20
2016-07-03T13:01:15.338Z,1.8460E-20
2016-07-03T13:01:58.174Z,1.6052E-20
2016-07-03T13:02:41.013Z,1.6736E-20
2016-07-03T13:03:23.850Z,1.3669E-20
2016-07-03T13:04:06.691Z,2.3394E-20
2016-07-03T13:04:49.533Z,2.4744E-20
2016-07-03T13:05:32.372Z,2.5089E-20
2016-07-03T13:06:15.208Z,1.1070E-20
2016-07-03T13:06:58.049Z,1.7975E-20
2016-07-03T13:07:40.893Z,1.7344E-20
2016-07-03T13:08:23.734Z,1.9533E-20
2016-07-03T13:09:06.572Z,1.2091E-20
2016-07-03T13:09:49.411Z,4.2632E-20
2016-07-03T13:10:32.256Z,1.1423E-20
2016-07-03T13:11:15.095Z,1.4229E-20
2016-07-03T13:11:57.932Z,1.0445E-19
2016-07-03T13:12:40.783Z,2.4349E-20
2016-07-03T13:13:23.622Z,1.8881E-20
2016-07-03T13:14:06.463Z,7.7501E-21
2016-07-03T13:14:49.302Z,1.6195E-20
2016-07-03T13:15:32.138Z,1.0012E-20
2016-07-03T13:16:14.975Z,2.3197E-20
2016-07-03T13:16:57.816Z,9.0770E-21
2016-07-03T13:17:40.661Z,1.4528E-20
2016-07-03T13:18:23.502Z,2.3653E-20
2016-07-03T13:19:06.342Z,1.3559E-20
2016-07-03T13:19:49.177Z,2.2556E-20
2016-07-03T13:20:32.014Z,1.5966E-20
2016-07-03T13:21:14.859Z,1.2007E-20
2016-07-03T13:21:57.701Z,5.8661E-21
2016-07-03T13:22:40.536Z,2.0578E-20
2016-07-03T13:23:23.377Z,1.9134E-20
2016-07-03T13:24:06.222Z,2.7837E-20
2016-07-03T13:24:49.061Z,1.5624E-20
2016-07-03T13:25:31.902Z,2.0666E-20
2016-07-03T13:26:14.743Z,3.0200E-20
2016-07-03T13:26:57.583Z,2.4048E-20
2016-07-03T13:27:40.420Z,3.6157E-20
2016-07-03T13:28:23.263Z,1.4393E-20
2016-07-03T13:29:06.100Z,7.7287E-21
2016-07-03T13:29:48.941Z,1.9932E-20
2016-07-03T13:30:31.777Z,5.2928E-21
2016-07-03T13:31:14.618Z,2.1869E-20
2016-07-03T13:31:57.458Z,2.3351E-20
2016-07-03T13:32:40.299Z,2.0079E-20
2016-07-03T13:33:23.138Z,1.9186E-20
2016-07-03T13:34:05.975Z,1.9309E-20
2016-07-03T13:34:48.816Z,4.1151E-20
2016-07-03T13:35:31.661Z,1.1422E-20
2016-07-03T13:36:14.502Z,2.1249E-20
2016-07-03T13:36:57.342Z,1.3130E-20
2016-07-03T13:37:40.179Z,7.7840E-21
2016-07-03T13:38:23.014Z,1.8013E-20
2016-07-03T13:39:05.854Z,4.3545E-21
2016-07-03T13:39:48.697Z,2.2102E-20
2016-07-03T13:40:31.536Z,2.3849E-20
2016-07-03T13:41:14.377Z,1.8460E-20
2016-07-03T13:41:57.213Z,2.0229E-20
2016-07-03T13:42:40.052Z,1.6864E-20
2016-07-03T13:43:22.893Z,1.1691E-20
2016-07-03T13:44:05.734Z,1.1185E-20
2016-07-03T13:44:48.576Z,1.5212E-20
2016-07-03T13:45:31.415Z,1.4460E-20
2016-07-03T13:46:14.260Z,9.0125E-20
2016-07-03T13:46:57.095Z,2.4861E-20
2016-07-03T13:47:39.932Z,9.3661E-21
2016-07-03T13:48:22.772Z,1.6339E-20
2016-07-03T13:49:05.615Z,1.8776E-20
2016-07-03T13:49:48.451Z,1.6864E-20
2016-07-03T13:50:31.290Z,1.2120E-20
2016-07-03T13:51:14.131Z,4.0834E-20
2016-07-03T13:51:56.970Z,1.8566E-20
2016-07-03T13:52:39.807Z,1.7658E-20
2016-07-03T13:53:22.647Z,9.7925E-21
2016-07-03T13:54:05.484Z,3.1029E-20
2016-07-03T13:54:48.326Z,1.6339E-20
2016-07-03T13:55:31.174Z,1.9740E-20
2016-07-03T13:56:14.010Z,2.0542E-20
2016-07-03T13:56:56.847Z,7.0835E-20
2016-07-03T13:57:39.686Z,1.9604E-20
2016-07-03T13:58:22.522Z,2.9616E-20
2016-07-03T13:59:05.368Z,1.9424E-20
2016-07-03T13:59:48.204Z,6.1590E-21
