Morlet wavelet, w_0 = 6
Estimated AR1 coefficient: 0.84
GLOBAL PERIODICITIES: Period; Wavelet power/WN power; Peak power/RN power
0.47 min; 0.13; 1.38
0.64 min; 0.12; 1.01
1.52 min; 0.16; 0.32
3.03 min; 0.27; 0.15
6.61 min; 0.56; 0.11
13.22 min; 0.57; 0.06
34.30 min; 8.81; 0.79
50.65 min; 12.04; 1.06
101.30 min; 119.87; 10.35
