Morlet wavelet, w_0 = 6
Estimated AR1 coefficient: 0.68
GLOBAL PERIODICITIES: Period; Wavelet power/WN power; Peak power/RN power
0.58 min; 0.27; 1.12
1.45 min; 0.46; 0.50
5.32 min; 4.58; 1.19
7.86 min; 3.27; 0.72
13.22 min; 1.50; 0.30
25.32 min; 0.22; 0.04
50.65 min; 0.05; 0.01
101.30 min; 0.01; 0.00
