Morlet wavelet, w_0 = 6
Estimated AR1 coefficient: 0.38
GLOBAL PERIODICITIES: Period; Wavelet power/WN power; Peak power/RN power
0.49 min; 0.50; 1.05
0.58 min; 0.48; 0.89
1.17 min; 0.53; 0.49
2.90 min; 2.40; 1.27
4.88 min; 2.50; 1.19
6.90 min; 2.04; 0.94
13.81 min; 0.79; 0.35
26.45 min; 0.15; 0.07
68.59 min; 0.05; 0.02
101.30 min; 0.06; 0.03
