Morlet wavelet, w_0 = 6
Estimated AR1 coefficient: 0.31
GLOBAL PERIODICITIES: Period; Wavelet power/WN power; Peak power/RN power
0.49 min; 0.56; 1.00
0.76 min; 0.60; 0.77
1.27 min; 0.61; 0.51
2.90 min; 1.45; 0.86
4.88 min; 2.52; 1.38
8.95 min; 1.56; 0.83
12.66 min; 1.12; 0.59
25.32 min; 0.21; 0.11
52.89 min; 0.03; 0.02
101.30 min; 0.03; 0.01
